Answer,Question,
0,Christian Schools are illegal in Australia.,
0,Christians make up nearly 90% of the Nigerian Population.,
1,Christians run 20% of India's Hospitals,
0,Christopher Columbus sighted Newfoundland in 1497.,
1,Chromosomes with the same order of genes are called homologous.,
0,Church attendance in Australia is higher than any other Western country.,
0,Citizens of New Zealand are less likely to attend church than Australians.,
1,Civil disobedience is a non-violent public act that is against the law aimed at changing government policies,
1,Classical criminology holds that humans are fundamentally rational.,
1,Classical Greek astronomers believed the motions of the heavens could be described by uniform circular motion,
1,classical Hollywood cinema privileges clarity and economy,
1,"Classifying students into whether they are good, fair, or poor speakers is an example of ordinal scaling",
1,Clastic sedimentary rocks are primarily classified on the basis of grain size,
1,Cleavage in minerals refers to a tendency to break along planes of weakness,
1,Cofactors speed up reactions,
1,Coffee originated in Ethiopia and is its main export.,
0,Coffee should be allowed to sit for a while before serving so the flavors have a chance to intensity,
1,Collective bargaining employees can always be excluded under a corporate plan,
0,Colorization is a result of dyes injected into the organism/cell to be studied,
0,Columbia has more than twenty theological training centers but few students can attend due to the violence in the country.,
1,Columbia has the second highest number of internally displaced people.,
0,Columbia is richer than Mexico.,
1,Columbia's largest city is Bogota.,
0,Columbia's society continues to unravel with violence and murder common.,
0,Columbia's superstitious population protects pastor and priests from danger.,
1,Comments are added to a program to improve its level of documentation intended for other programmers,
1,Commercial robbers are more likely to engage in some planning of their crimes than are offenders who commit personal robberies.,
0,Communication is a reversible and erasable process.,
0,"companies that use the marketing concept do not focus on specific groups of customers, but rather on all consumers in general",
0,Comparative criminology is the study of crime on a national level.,
0,"Compared to other industrialized countries, the United States scores below average in tests of mathematics and science.",
0,"Compared to typical oceanic lithosphere, the thickness of continental lithosphere is thinner",
1,Comparing dividends per share to earnings per share indicates the extent to which the corporation is retaining its earnings for use in operations,
0,Comparison is an emotional appeal such as in the Mac vs. PC campaign,
1,Compatibilism claims that libertarian free will is compatible with soft determinism.,
0,Competence refers to your interpersonal communication abilities rather than to small group or public speaking abilities.,
1,Competition among sellers encourages producer to supply more of what consumers value the most.,
1,competition forces business to offer reasonable prices for the products and services,
0,competition limits the variety of products that are available,
0,competitive inhibitors bind to the enzyme at a location outside of the active site,
0,competitors willingly exchange essential information,
0,Comsumers value future consumption more present consumption,
1,Comtemporary biosocial theorists see the interaction between an individual and his/her environment as the key determining factor in most behavior.,
0,Conflict theories suggest that crime results from inappropriate socialization and social learning.,
0,Conflict theorist see the family as a social institution which is necessary for the stability of society,
0,Conformity orientation refers to the degree to which family members can speak their minds.,
0,"Congo-DRC has a large, aggressive, and vocal Muslim Minority.",
1,Congo-DRC is one of the most corrupt countries in the world.,
1,Congo-DRC is one of the most resource-rich nations in Africa.,
1,congruent angles have the same measure,
1,Conjugate variables are sets of intensive and extensive variables whose product has the dimensions of energy,
0,Consecutive angles in a parallelogram are always congruent,
0,Consumer demand and consumer wants are one in the same.,
1,"Consumer demand for food that are helpful, convenient, and great tasting affect what products are available in the marketplace",
1,consumers are at different levels on the hierarchy of needs,
1,consumers can find information in the phone book,
0,consumers go through six steps when making a purchasing decision,
1,consumers have limited dollars to spend on each product or service,
0,Consumers in pure centrally planned economies always have an unlimited amount of all goods available to them.,
1,Consumers often pay higher prices at convenience stores because of the cost of longer business hours,
1,consumers select products that they believe are able to provide the greatest satisfaction for the price,
0,consumers will pay more for a product if there is a large supply available,
0,Continental coastlines that occur within the interior of a tectonic plate are called active continental margins,
1,Continental crust is less dense than oceanic crust,
0,"Continental drift is the hypothesis that the sea floor forms at the crest of the mid-oceanic ridge, then moves horizontally away from the ridge crest",
1,continuity editing is not promoted by all types of cinema,
1,"Control forcing statements such as break, continue, exit and the use of return statements in a user defined function are prohibited by course standards as mechanisms to terminate repetitive processes",
1,convenience stores that are open 24 hours a day usually provide time and place utility,
1,Converting a higher ranked data type to that of a lower ranked data type may result in the loss of data,
1,Copernicus proposed that Earth moved around the Sun,
0,coplanar points are also collinear,
0,Correlation implies causation,
0,cosmetic surgery is a fully paid procedure by most insurance policies,
1,Costa Rica has a rapidly increasing Chinese population.,
1,Costa Rica is one of the richest countries in Central America.,
0,Countercultures generally conform to the parameters of the surrounding culture.,
1,Covering food with paper towels before microwaving with help absorb splatters,
0,CPCTC stands for corresponding parts of congruent triangles are complementary,
0,"Creative execution is what the advertisement says, and strategy is how it is said.",
0,creative rev. led by william bernbach is a pro research movement of advertising creative people in the research era,
0,credit cards are usually one of the least expensive forms of borrowing,
1,Credit sequences are nondiegetic,
1,Crime reporting practices vary substantially among nations.,
0,Criminal justice focuses on questions about the causes of crime.,
1,Crowdsourcing refers to collecting the opinions of consumers through surveys administered in public places such as shopping malls,
1,"Crowdsourcing refers to collecting the opinions of consumers through surveys administered in public places, such as shopping malls",
0,Cuba is as rich as Mexico.,
0,Cultural deviances theory emphasizes frustration as a key cause of criminal behavior.,
1,Culture conflict theories have been criticized for being racist.,
1,"Culture is the sum total of beliefs, values, knowledge, ethnic customs, and objects that people use to adapt to their environment.",
0,Cup 2 of Passover was drunk after the bitter herbs,
1,Cup three was originally called the cup of blessing,
1,"Currently in the United States, approximately 1.5 million students are educated at home.",
0,customers using the products and services of a monopoly business are usually satisfied,
1,Cyberstalking takes place on the internet.,
0,Cyclical unemployment increases during expansions.,
1,David Chalmers argued that physicalism is false.,
1,David is from the line of Judah,
0,Deborah is a major judge,
1,Decompression melting occurs at both mid ocean ridges and hotspots,
0,Deep space means the same as deep focus,
1,Demand is elasticity if it is greater than 1.0.,
1,Density is an intensive variable,
0,Dental care is usually covered on a standard health care policy,
1,"Depending on how it is contaminated, polluted water can be purified for reuse.",
1,Deprofessionalization is associated with a decreased status decreased autonomy and decreased wealth,
1,Descartes believed that the mind and body interact in the pineal gland.,
0,"Descartes came to be certain that his body and the external world existed, because of his belief that there was a good God.",
1,Descartes's argument for the existence of God was based on the premise that the universe had to have a cause.,
0,Descriptive statistics are used to make inferences about the population,
1,Descriptive statistics involves characterizing the obtained data,
0,"Despite criticisms about its value, the FDA encourages comparative advertising",
1,"Despite many attempts, quantification of semantic information has not yet been achieved",
0,"Developing countries of the world include all of the counties of North America and Europe, along with Japan, Australia, and New Zealand.",
1,dG tells us whether or not a reaction will occur,
1,Dialogic communication is communication in which people exhibit respect and concern for one another.,
0,Dialogue overlap is mostly used for discontinuity editing,
0,Dialogue overlap refers to the confusion caused by a number of people speaking over another,
1,Diamonds are usually found in kimberlite,
0,Differentiating instruction means assigning students of different abilities to classes with other students of comparable abilities.,
1,Differentiation means finding slopes all the rate of change of one variable with respect to another,
0,Diffusion always occurs against a concentration gradient,
0,Diffusion is a spontaneous process and its delta G is negative,
1,Diffusion is considered a spontaneous process.,
0,direct competition is competition between businesses in the same location,
0,Discovery science could be described as testing a hypothesis,
1,distribution planning is important because the service must be available where and when the customer wants it,
1,Distributions from 457 plans are not subject to the 10% penalty if taken prior to age 59 1/2,
0,Distributions from a Roth IRA are always 100% tax free,
1,"Distributions from non-Roth IRSs, qualified plans and 403b annuities are taxed as ordinary income",
1,"Distributions to death beneficiaries are subject to federal estate tax, which may offset, to some extent, income tax paid on the pension",
0,Diverse crime reporting practices are not a serious issue for comparative criminologists.,
0,Do United States has the highest rate of cohabitation of all developed countries,
1,Do you see what I see is a question that highlights the role of intersubjectivity in scientific observation.,
0,Domestic terrorism refers only to acts of terrorism occurring outside the US.,
1,Dominations are angels who assign tasks to the Virtues and Powers,
1,Donald Trump has exhibited characteristics of a move towards fascism by breaking political norms delegitimizing other political candidates encouraging violence and limiting opponents cival liberties,
0,Downsizing involves additional hiring by a company,
1,Drill-and-practice programs increase fluency of a skill.,
1,dSe/dt can be positive or negative,
1,"During colonial times, most students did not finish elementary school.",
1,During digestion food is broken down both mechanically and chemically into nutrients the body can use,
1,"During lactation, a woman has increased energy, protein, mineral, and vitamin needs",
1,"During periods of increasing costs, the use of the FIFO method of costing inventory will yield and inventory amount for the balance sheet that is higher than LIFO would produce",
0,"During pregnancy, the average woman gains 40-50 pounds",
0,"During team meetings, Luc doodles. This is an example of a self-adapter.",
1,"During the 20th century, marketers generally assumed one generation would grow up and make similar choices to those who preceded them at similar stages in life.",
1,"During the involvement stage, your test messaging and Facebook interactions may intensify.",
1,"During the past 40 years, Singapore has experienced significant church growth.",
1,each interior angle of a equiangular 15-gon has a measure of 156°?,
0,Each rectangle on a structure chart represents the user defined and standrard library functions used in a program,
0,Each switch case label is the keyword case followed by a constant expression inside of single quotes,
1,"Each thermodynamic process is distinguished from other processes in energetic character, according to what parameters, such as temperature, pressure, or volume etc are held constant",
1,Each variable in C must be declared and defined before it can be used,
0,Eagles were considered a clean food for the Israelites,
0,"Early biological theorists considered a variety of influences on behavior, such as diet, hormones, and environmental contaminants.",
1,Early childhood differences in health by social class tend to have long lasting affects over the lifespan,
0,Earth Day has been around 11 years.,
1,Earth's atmosphere is fully transparent only to visible and radio light,
1,Earthquakes can often produce firs by breaking gas lines,
1,Ecology would look at a humans impact on species extinction rate,
1,Economics is about making choices.,
0,Ecuador is one of the only Latin American countries with a declining population.,
0,Ecuador is the richest country on the South American continent.,
1,Effective conversationalists need to be flexible,
1,Effective sales managers set a good example and possess characteristics of both structure and consideration.,
1,Effective territorial behavior by an animal results in priority use of those resources available in a specific area.,
0,Efficiency means producing the maximum possible output with minimal production costs.,
1,Efficient teachers can provide students with as much as 180 hours a year more of engaged learning time than inefficient teachers.,
1,Efforts to desegregate the public schools during the 1960s through the 1980s came as a result of a Supreme Court ruling.,
1,Efforts to lose weight are most successful when a part of a lifetime commitment to maintain good health,
0,"Einstein showed that diffusion coefficient and mobility can be related by the equation : u=DRT, where T is absolute temperature and u is particle's mobility",
0,El Salvador is one of the few Central American countries to have avoided a major civil war.,
0,elasticity of demand measures how much consumer demand for a product changes when the supply is increased or decreased,
1,Elasticity of demand= percent change in quantity demanded/percentage change in price.,
1,Elasticity of supply= percentage change in quanity supplied/Percentage change in price.,
1,"Electric potential is a scalar quantity associated with an electric field and is measured in coulombs per joule, or volts",
1,Electrogenic transport changes the electrical potential difference across the membrane,
0,Elementary and secondary school teachers plan their lessons in a similar fashion.,
1,"Elements of an array, themselves individual values of a given data type, are passed by value from calling to called function",
0,Emblems are generally paralinguistic cues.,
1,Emile Durkheim used the term anomie to refer to formalness or lack of belonging.,
0,Emphasized femininity is focused on protecting positive images of women in society,
0,Employees under the age of 21 must be excluded from participants in a 401k plan,
0,Employees with less than 3 years of full time service credit can be excluded from a 401k because of the service requirement,
0,Employers pay twice as much Social Security and Medicare as their employee's share,
1,Encouraging education is one way the government tries to attain positive externalities.,
0,Endocytosis is a form of passive transport which includes both ingestion of large particles and uptake of fluids or macromolecules in small vesicles,
0,Endomorphs are most likely to engage to in delinquent or criminal behavior.,
1,Energy can be converted from one form to another.,
0,Energy can be created.,
1,Energy can be measured.,
1,Energy can be recycled.,
0,Energy can be recycled.,
0,Energy can be weighed.,
1,Energy cannot be created within a system,
1,"Energy exists in 2 basic forms, potential and kinetic energy",
0,Energy is matter,
1,Energy is required to restore order in the system,
0,"Energy may be extracted from an object either by cooling, compression, or extraction of matter",
0,Energy occupies space.,
0,English explorers introduced cane sugar and wheat to the United States,
1,"Enlightenment thinkers believed in the unity of humankind, but they also believe in classifying people along a continuum form primitive to modern",
0,Enthalpy defines the heat content of a system under isochoric conditions,
1,Enthalpy is a component of the Gibbs free energy,
0,Enthalpy is an intensive property,
0,Enthalpy is an intrinsic property of a system. Its increase is equal to the amount of heat absorbed from the environment at constanr pressure,
1,Enthalpy is expressed in units of energy and is known as the heat content of a system,
1,"Enthalpy, like internal energy or temperature, is a function of state of the system and is independent of the path through which that state is reached",
1,"Entropy can be ""exported"" out of systems",
1,Entropy is an extensive parameter,
1,"Entropy is related to the number of possible arrangements or „micro states""",
1,Environmental criminology emphasizes the relationship between location and prevalence of victimization.,
0,Environmentalists argued that Global cooling was a natural phenomenon.,
0,Enzymatic reactions are examples of isotropic systems,
1,"Enzymes are both catalysts and proteins,",
1,Equilibrium assumes the pH and the concentration stay the same,
1,Equilibrium thermodynamics is the systematic study of transformations of matter and energy in systems as they approach equilibrium,
1,ERISA is the primary law covering retirement plans and their participants,
0,Esau cared more about the birthright than Jacob,
1,Esau means reddish,
1,Ethical standards tend to filter down from the top of a business organization.,
1,Ethiopia has more people than France.,
1,Ethiopia is one of the world's oldest nations and one of the first Christian Nations.,
1,Eukaryotes exhibit compartmentalization,
0,Eukaryotic cells are distinguished from prokaryotic cells by the presence of a plasma membrane.,
1,"Evaluative research conducted during an ad campaign has diagnostic objectives, while evaluative research conducted at the end of an ad campaign seeks to determine the effectiveness of the ad",
1,Evangelical Christians in Venezuela are growing in size and influence.,
0,Evangelicals are nearly nonexistent in Mexico.,
1,Even a person with unlimited wealth must deal with opportunity costs.,
0,Even though it is small the Evangelical church in Japan is united.,
1,Even though the population is increasing total water use has remained about the same since 1990 in the United States.,
1,Even though women have made gains in higher education women still earn far fewer degrees in the STEM disciplines,
1,Every Caste and tribe in Nepal has a Christian presence.,
0,every line has exactly one midpoint,
0,every parallelogram is a rhombus,
1,every rhombus is a parallelogram,
0,Every rhombus is a square,
1,Every square is a rectangle,
1,Everything in Jesus' life was directed towards his passion,
0,Evil is a created reality and has its own existence,
0,Exchange theorists focus on the meeting families attached the rules and identities that emerge from families,
1,exclusions are things not covered by your insurance policy,
0,Exercise and fitness programs today are increasingly focused on the enjoyment associated with exercise,
0,External diegetic sound must be onscreen,
0,external factors do not influence our purchase decisions,
1,Faciliated diffusion occurs when the transported molecule needs a carrier to cross the membrane,
1,"Facilitated diffusion is a passive transport, because the energy driving the substance movement originates from the concentration gradient itself, without any contribution of the transport system",
0,Failing to reject the null hypothesis means that the null hypothesis is true.,
1,Failure to meet the bodies nutrient needs may result in a deficiency disease,
0,"False (Rome was the center),Florence was the center of High Renaissance culture.",
0,Family has little impact on the foods people eat and how they eat them,
0,Faraday's constant is dimensionless,
1,Fats are important energy sources,
0,Fats such as shortening and peanut butter should be pressed into liquid measuring cups with a rubber spatula for exact measurements,
1,FCC is authorized by CAN SPAM act of 2003 to regulate email marketing,
0,Federal income taxes withheld increase the employer's payroll tax expense,
1,Felsic magma has the greatest silica content,
0,Felsic magma tends to form effusive eruptions,
0,Females with antisocial personality disorder exhibit different characteristics than their male counterparts.,
1,Feminism is the belief that women are equal to men especially socially politically and economically,
0,Ferdinand Magellan explored the eastern coast line of the Americas.,
0,Fermentation produces more usable energy than aerobic respiration.,
1,FIFO is the inventory costing method that follows the physical flow of the goods,
1,Filipino Evangelicals working abroad see themselves as a significant missionary force.,
0,Film prior to 1926 was not accompanied by music,
0,Films should only be measured against the standard of realism,
1,Firms try to avoid diseconomies of scale.,
0,fixed expenses are amount that you can chose to spend or not to spend,
0,"Fixed expenses include food, clothing and transportation",
0,Flashforwards are common devices in classical Hollywood films,
1,flexible expenses are amounts that you can choose or not to spend,
1,"Flipping a coin ones will give us events head and tail each with probability 1/2, and thus a single flip of a coin gives us 1 bit of information",
0,Flutes and whistles are classified as idiophones,
1,Flux can be expressed as the ratio between the concentration of the transport substance and velocity,
0,Food and minerals may cause stainless steel to pit,
0,Food is pushed through the digestive tract by villi,
1,"Food preferences can be affected by sight, smell, and touch as well as by taste",
1,"For a given amount of substance temperature, pressure and volume are not independent from each other.they are connected by an equation of state",
0,"For a given reaction at a given temperature , Keq will vary depending on the initial concentrations of the reactants and products",
0,"For a linear relationship to exist, all the points must fall on a straight line",
0,"For a month's transactions for a typical medium-sized business, the salary expense account is likely to have only credit entries",
1,"For a two-tailed test, if | tobt | ≥ | tcrit |, reject H0",
1,FOr a value to be potentially used as an index it must be an integral value or an expression that evaluates to such,
0,"For all problems, we must use either the Addition Rule or the Multiplication Rule, but not both",
1,"For an ideal gas, the work equals negative the heat in an isothermal process",
0,For an isolated system entropy does not change during irreversible processes,
1,"For an isolated system, since there is no heat or work transferred with the surrounding, delta U= 0",
1,"For an isothermal process, dT=0 and dF= dU-TdS",
1,For globalization life is more local with greater social solidarity,
1,"For many reactions, the process from reactants to products is reversible",
1,"For most retired Americans, social security is a major source of income",
1,"For the economy as a whole, more investment means more capital goods, increasing the economie's ability to produce in the future.",
0,for the line y=2x+3 the slope is equal to 3,
1,Forces that act between two molecules are referred to as intermolecular forces,
1,form utility results from changes in the tangible parts of a product or service,
0,forms are fixed molds into which composers force their material,
1,Francis Bacon was the father of the experimental method.,
1,Free diffusion of charged particles is also called electrophoresis,
0,Freezing temperatures kill all bacteria,
0,"Fresh fruit is a good food to store for emergencies because it will provide family members with needed vitamins, minerals, and fiber",
0,Frozen foods that have thawed completely can be safely re-frozen,
1,Functional cohesions is measure of how closely the processes in a function are related,
1,Future Taxes are an important part of the retirement planning process,
0,Galileo invented the telescope,
0,Galileo used a telescope to observe the phases of the Sun,
1,Galileo used a telescope to observe the phases of Venus,
1,"Gap junction channels are made up of two connexons, each of which has six identical subunits called connexions",
1,Garnishes can improve the appearance and food value of a sandwich,
1,Garnishes should be considered when evaluating the color appeal of the meal,
0,Gases tend to have lower densities than solids because gases have lower molar mass,
0,Gathering facts is sufficient to offer a satisfactory explanation of crime.,
0,GDP takes into account the secondhand value of goods used such as existing homes and used cars.,
1,Generally accepted accounting principles require accrual-basis accounting,
0,"Generally speaking, planning for 30-40% of final pay as a retirement goal is good advice",
0,"Generally speaking, the higher the price, the higher the quantity demanded.",
1,"Generally speaking, the more confidence we have that the interval contains the population mean, the larger is the interval",
0,"Generally, fighting actively is preferable to avoiding conflict.",
0,"Generally, health/ medical expenses are a minor consideration in the retirement planning process and usually have little effect on expendable income",
0,Genes cause human action.,
1,"Geographic areas that receive high annual precipitation tend to be close to the equator,",
1,Geologists call individual layers of sedimentary rocks beds,
1,Geomagnetic reversals represent a source of information on the rate of sea-floor spreading,
1,Getting a determination letter from the IRS is advisable before filing a tax return,
0,Getting the most nutrition out of calories means frequently choosing forms of food that are less nutrient dense,
0,"Gibbs free energy is useful at constant T and V, a condition which approximates the condition in living systems",
0,"Gideon has a great battle against the Midianites in which 200 Israelites defeat their army of 300,000",
1,Given the address of a variable the called function can access and manipulate the value of a variable in the calling function,
0,Glass is a good choice for a cookware material because it is a good heat conductor,
1,Global human trafficking encompasses such activities as prostitution human organ selling and adoptions,
1,Globalization of knowledge is affecting theory formation within criminology.,
0,Globalization only affects the US.,
1,Glycosylation may attach lipids or proteins to carbohydrates,
1,Glyolysis and the citric acid cycle produce two easily oxidized molecules: NADH and FADH2,
1,Glyolysis is a metabolic pathway in which glucose is converted into pyruvate with the concomitant production of ATP,
0,Goals are not important to Classical Hollywood narratives,
1,God allows suffering,
1,God gave Abram three promises when he was called by God,
1,God produces being from nothingness,
0,God sends Samson to find a new king from the town of Bethlehem,
1,Godson severe plagues on the pharaoh of Egypt for taking Sarai,
0,Goods and services are bought and sold in resource markets.,
1,Goods and services are scarce.,
0,Governmental defined benefit plans are covered by the PBCG,
0,Grades are based on factors that affect the wholesomeness of a food,
0,Grains become rounded primarily during lithification,
1,Greater uncertainty means that a large number of yes-no questions have to be answered to get the result,
1,Gross domestic product measures the value of the economy.,
1,group insurance is less expensive to administer because of the large number of people in the plan,
1,Groups of immigrants to the United States brought with them foods that were native to their homelands,
0,Growing population is still one of the world's biggest problems.,
0,Growing wealth in Mexico has all but eliminated street children.,
1,"Growth in GDP also involves growth in negative externalities, thus making the resulting rise GDP not as attractive as it would first appear.",
0,Growth is the process of cells forming tissue and tissues forming organs,
1,Guatemala has the highest murder rate in Latin America.,
0,Guatemala has the lowest Evangelical population in Central America.,
1,Guatemala is a main route for cocaine on its way to the U.S.,
0,Ha's religious group members spend a considerable amount of time praying and chanting in other words Ha's religion involves the use of many rites of passage,
1,Haiti has one of the most corrupt governments in the world.,
1,Haiti is the poorest state in the Western Hemisphere.,
0,harmonic movement in music receives its maximum tension from consonance,
1,harmonic movement is generated by motion toward a goal or resolution,
0,harmony is important to most non-Western musical cultures,
1,Heat and work and not state variables,
0,Heat and work are both exact differentials,
0,Heat and work cannot be expressed as a difference between their end states,
1,Heat and work our path dependent quantities,
1,"Heat as a specific property : any form of energy can be completely transformed into heat, but heat itself can only partially be converted into work",
0,Heat flows spontaneously from the hotter to the colder body and not in the reversible direction,
1,Heaven is permanent,
1,"Heavy users and brand loyal buyers are usually a brand's most important customers, and they are the most difficult for competitors to switch away from a brand.",
1,Hell is permanent,
0,Helmholtz free energy depends on the path taken between states,
0,Hepatitis A virus is often transmitted by rodents and household pets,
1,High recidivism rates suggests that current methods of punishment are not effective in deterring crime.,
1,High-Key lighting is often found in Westerns,
0,Hispanic Americans are a homogeneous ethic group of consumers for advertisers,
1,Historically imperialism colonialism and economic development westernization and Americanization have worked to Northerners it vantage into Southerners disadvantage,
1,Historically segregation was mandated by law in the United States,
0,Hollywood films most commonly begin a scene with a two shot,
1,Holy week begins on Palm Sunday,
1,Homemade videos and commercials posted on Youtube are examples of consumer generated content,
0,"Homogenous thermodynamic system has two or more phases, which are separated from one another by definite bounding surfaces",
0,homophonic describes a single-voiced texture without accompaniment,
0,Honduras has one of the lowest HIV positive rates in the western hemisphere.,
1,Honduras is one of the poorest countries in the western hemisphere.,
1,horizontal lines have a slope of 0,
0,Hot spots can occur only within continental plates,
0,"Hugh Elliot's story of ""Tantalus"" was meant to illustrate the fact that thoughts are the product of a nonphysical mind.",
1,Human smuggling generally occurs with the consent of the person who is being smuggled.,
1,Human smuggling is a form of illegal immigration.,
1,Humans have produced a greenhouse gases that have damage the atmosphere and in the view of most experts are leading to a dramatic rise in the temperature of the earth,
0,Hydration is a type of physical weathering,
0,Hydrocarbons can only contain Hydrogen and carbon,
0,"Hydrophobicity of molecules is an important requirement for simple diffusion across the membrane, as the interior of the phospholipid bilayer is hydrophilic",
0,Hypokalaemia potentiates digitalis toxicity in patiens,
0,"Id dG is positive, the transport process can occur spontaneously without free energy input",
0,"If 100 shares of treasury stock were purchased for $50 per share and then sold at $60 per share, $1,000 of income is reported in the income statement",
0,"If 20,000 shares are authorized, 14,000 shares are issued, and 500 shares are held as treasury stock, a cash dividend of $1 per share would amount to $14,000.",
0,"If 50,000 shares are authorized, 37,000 shares are issued, and 2,000 shares are reacquired, the number of outstanding shares is 39,000.",
0,"If a 180 pound man and his 120 pound wife are walking together, they will use the same amount of energy",
1,"If a commercial instrument is nonnegotiable, it falls under the common law, not the UCC.",
0,"If a comparatively minor force acts on a body, then the body will attain a velocity that is inversely proportional to the force",
0,"If a cooperation fails, stockholders could lose the amount they pay particular stock and could be held liable for any additional losses.",
1,"If a curve is negatively skewed, most of the scores occur at the higher values and the curve tails off toward the lower end of the horizontal axis",
1,"If a demand curve shifts futher to the left than tbe supply curve, equilibrium price will decrease.",
0,"If a demand curve shifts to the left, the equilibrium price and quantity demanded will increase.",
0,"If a fault is nearly vertical in orientation and the two walls of rock on opposite sides slide past one another horizontally, the fault is termed a normal fault",
0,"If a firm has a quick ratio of 1, the subsequent payment of an account payable will cause the ratio to increase",
0,"If a gas and a liquid are both at the same temperature, the particles of gas have a higher average kinetic energy",
1,"If a participant elects a direct rollover from a qualified plan to an IRA, no income tax is required to be withheld",
1,"If a planet orbits the Sun at a distance of 4 AU, then its orbital period is 8 years",
1,"If a principal debtor defaults on a loan, an absolute surety will have to pay upon demand of the creditor.",
0,"If a set of events is exhaustive, they only constitute a part of the possible events",
1,"If a supply curve shifts to the left, the equilibrium price will increase while the quantity demanded with fall.",
1,"If a terminating participant is entitled to a lump sum benefit of $3,000 the plan can force out the payment in a lump sum and forgo giving the participant the right to optional forms of distribution",
1,"if a triangle is equilateral, it is isosceles",
0,If a Ttarget value is not present in a sorted list then every element of that list much be compared before that fact can be determined,
0,"If an event is certain to occur, its probability of occurrence equals 0.00",
1,"If charged particles of the same magnitude and sign of the charge are transported in one direction or charged particles of the different magnitude and same sign of the charge are transported in opposite direction, then the transport is electrogenic",
0,"If demand increases and supply decreases, equilibrium price will decrease.",
1,"If different kinds of motions and forces occur simultaneously in a system, they will influence each other",
0,"If ending inventory for the year is understated, net income for the year is overstated",
0,"If H0 is  as the power of the experiment increases, the probability of rejecting H0 increases",
1,"If H0 is true and we reject it, we have made a Type I error",
1,If H1 is nondirectional one must evaluate the probability of getting the obtained result or aresult more extreme in both directions to properly test H0,
1,"If IQ was measured on a ratio scale, and John had an IQ of 40 and Fred an IQ of 80, it would be correct to say that Fred was twice as intelligent as John",
1,If Keisha is consistently placed in high tracks she will likely Out perform other students this process is known as cumulative advantage,
0,"if m<A = 20 degrees, the the measure of its supplement is 70 degrees",
1,"If N < 30, to use the t test, the population of raw scores should be normally distributed",
0,"If results are statistically significant, the independent variable must have had a large effect",
1,"If science contradicts a fundamental truth of the faith or Bible, the church will step in to correct the error",
1,If sX = sY then r = bY,
1,"If temperature refers to the intensity of the agitation of atoms, then absolute zero has no agitation",
0,"If the adjustment for depreciation for the year is inadvertently omitted, the assets on the balance sheet at the end of the period will be understated",
1,"If the anion and cations mobilities are the same, the ions diffuse jointly and no voltage develops",
1,"If the atomic mass of a manganese atom is 54.94 amu, then it's molar mass is 54.94 g/mol",
1,"If the change in Gibbs free energy is zero, the system is at equilibrium and no net change takes place",
0,"If the changes in gibbs free energy is negative, the reaction will proceed to the right and this reaction is called a nonsponateous reaction",
0,"If the concentration of the products of a chemical reaction is higher than that of the reactants at equilibrium, then the reaction will proceed spontaneously in the direction of the products and is endothermic",
1,"If the dividend amount of preferred stock, $50 par value, is quoted as 8%, then the dividends per share would be $4",
1,"If the entropy of an open system decreases, then delta S is negative",
0,"If the ion mobility is the same, the diffusion potential will be maximum",
1,"If the magnitude of dG is positive and great, a system is stable with little or no tendency for a reaction to occur",
0,"If the measurements are in square feet, then their corresponding z−scores are also in square feet.",
0,If the number of values provided for initialization of an array is fewer than the size of the array then the remaining elements have no known value,
0,"If the remainder of a number = 1/2 , we always round the last digit up",
1,"If the result turns out to be in the direction opposite to a directional H1, we must conclude by retaining H0",
0,"If the sample mean is different from the population mean, H0 must be false",
0,"If the temperature at which a reaction occurs increases, the number of collisions decreases",
0,"If the temperature of the reactants is increased, the rate of the reaction will decrease",
1,"If the vertex angle of an isosceles triangle has been bisected, then the bisector is a median and an altitude.",
1,"If the volume of gas is kept constant, that gas can do no work",
0,"If total assets decreased by $30,000 during a specific period and stockholders' equity decreased by $35,000 during the same period, the period's change in total liabilities was an $65,000 increase",
0,"IF total assets decreases by $40,000, during a specific period and stockholders' equity decreased by $45,000 during the same period, the period's change in total liabilities was an $85,000 increase",
0,"If two events are independent, then they are mutually exclusive.",
1,"If two events are mutually exclusive and exhaustive, P + Q = 1",
0,"If two events are mutually exclusive, then they are independent.",
0,"If two events are mutually exclusive, they must be independent",
0,if two lines are parallel then alternate interior angles are supplementary,
0,if two lines are perpendicular they do not intersect,
1,"If two sides of a triangle measure 45 cm and 36 cm, then the third side must be greater than 9 cm and less than 81 cm.",
0,"If U2 is bigger than U1, delta U will be negative",
1,If using an external file (via a file source variable) for input to a program then all input for the program must come from the external source,
0,"If vitamin A is not available in the body, the blood cannot clot properly",
0,"If X bar is approximately normally distributed, then X must be normally distributed.",
1,"If X is normally distributed, then X bar (the average of a random sample of values of X) is also normally distributed.",
0,"If you are not breaking the law, then you are acting in an ethical manner.",
1,"if you cannot resolve problems with your job performance, it is best to resign before you employer fires you.",
1,"If you fail the character test, you fail as a sales manager.",
0,"if you spend $20 more for groceries each week than you originally budgeted, then you are ""under"" budget",
0,"Immediacy does not provide a sense of togetherness, of oneness, between speaker and listener",
0,"Immigrant groups did not settle in any specific areas, so foods from a variety of origins can be found throughout the United States",
1,Important volatiles in magmas include water,
0,Impressionist artists attempted to create images that blended with previously held artistic styles.,
0,in 1850 about two-thirds of america's labor force worked in factories in nearby cities.,
0,"In 18th century Britain, all males 21 years of age and older could vote.",
